Lon,Lat,Stratum,HERSTRATUM,SPRSTRATUM
-8.15234675,58.5,1,WoS,
-8.13001,58.51427,1,WoS,
-7.98352,58.55324,1,WoS,
-7.89577,58.58028,1,WoS,
-7.83456,58.62933,1,WoS,
-7.7523,58.66176,1,WoS,
-7.698065827,58.70114852,1,WoS,
-7.64335,58.74022,1,WoS,
-7.58228,58.75372,1,WoS,
-7.49129,58.81243,1,WoS,
-7.44925,58.89547,1,WoS,
-7.36906,58.98861,1,WoS,
-7.29506,59.03067,1,WoS,
-7.045116027,59.15077087,1,WoS,
-6.830556523,59.15490364,1,WoS,
-6.67432,59.21217,1,WoS,
-6.44811,59.35738,1,WoS,
-6.33214,59.48756,1,WoS,
-6.23205,59.53783,1,WoS,
-6.1638,59.67485,1,WoS,
-6.025184007,59.69479604,1,WoS,
-5.912252087,59.67703387,1,WoS,
-5.545626513,59.66048884,1,WoS,
-5.34043,59.69047,1,WoS,
-5.225094346,59.79551031,1,WoS,
-5,59.83503,1,WoS,
-5,59.91213798,1,WoS,
-4.75,60.00544287,1,WoS,
-4.380185875,60.1168126,1,WoS,
-4.25,60.18027178,1,WoS,
-4,60.23076,1,WoS,
-4,58.5789992,1,WoS,
-4,58.57881381,1,WoS,
-4.003411752,58.57764282,1,WoS,
-4.003986903,58.58068234,1,WoS,
-4.004828141,58.58321405,1,WoS,
-4.006308821,58.58543325,1,WoS,
-4.006540973,58.58569678,1,WoS,
-4.006124838,58.58834047,1,WoS,
-4.006855438,58.59185605,1,WoS,
-4.01226754,58.60519605,1,WoS,
-4.01377723,58.60774796,1,WoS,
-4.015968845,58.60974501,1,WoS,
-4.018649712,58.61101164,1,WoS,
-4.021584146,58.61143649,1,WoS,
-4.024624936,58.61142123,1,WoS,
-4.027921196,58.6108448,1,WoS,
-4.030842735,58.60921318,1,WoS,
-4.033062411,58.60670905,1,WoS,
-4.035031425,58.60354845,1,WoS,
-4.036504383,58.6027679,1,WoS,
-4.040119616,58.60275429,1,WoS,
-4.042513153,58.60245433,1,WoS,
-4.043264201,58.60216606,1,WoS,
-4.044632548,58.60260999,1,WoS,
-4.047821836,58.60258897,1,WoS,
-4.050842298,58.60156486,1,WoS,
-4.053089631,58.60037467,1,WoS,
-4.055680433,58.59840282,1,WoS,
-4.057500479,58.59570322,1,WoS,
-4.058100322,58.59350295,1,WoS,
-4.059707631,58.59298288,1,WoS,
-4.062284842,58.5910869,1,WoS,
-4.06413134,58.58847402,1,WoS,
-4.065058105,58.58541169,1,WoS,
-4.064970265,58.58221341,1,WoS,
-4.06464638,58.5805121,1,WoS,
-4.079221964,58.57500563,1,WoS,
-4.082085534,58.57333665,1,WoS,
-4.084204875,58.57087151,1,WoS,
-4.08642618,58.57226648,1,WoS,
-4.089350072,58.57303568,1,WoS,
-4.092370217,58.57289589,1,WoS,
-4.095830624,58.57220161,1,WoS,
