"Stratum","Spacing","StratumPlan","Orientation","Mode"
"11","15","11","0","Parallel"
"21","13","21","-18.25","Parallel"
"31","10","31","-18.25","Parallel"
"41","17.5","41","-116.5","Parallel"
"42","17.5","41","-116.5","Parallel"
"51","25","51","0","Parallel"
"61","23","61","-90","Parallel"
"71","17.5","71","-1","Parallel"
"81","30","81","0","zigzag"
"91","15","91","0","Parallel"
"101","15","101","32","Parallel"
"111","15","111","0","Parallel"
"121","15","121","32","Parallel"
"131","30","131","0","Parallel"
"141","15","141","0","Parallel"
"1511","17.5","1511","0","Parallel"
"1512","15","1512","90","Parallel"
"152","15","1512","90","Parallel"
